在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
11世班禅向党中央敬献唐卡。	十一世班禅向党中央敬献唐卡。
苏州工业园区联合协调理事会第20次会议，天津生态城联合协调理事会第11次会议。	苏州工业园区联合协调理事会第二十次会议，天津生态城联合协调理事会第十一次会议。
随后韩正和王瑞杰共同主持4个双边合作机制会议。	随后韩正和王瑞杰共同主持四个双边合作机制会议。
11世班禅额尔德尼却即节部向党中央敬献唐卡仪式今天在北京举行。	十一世班禅额尔德尼却即节部向党中央敬献唐卡仪式今天在北京举行。
中共中央政治局委员中央办公厅主任丁学祥接受了敬献的唐卡。在举国欢庆新中国成立70周年之际。	中共中央政治局委员中央办公厅主任丁学祥接受了敬献的唐卡。在举国欢庆新中国成立七十周年之际。
双方宣布中新双边自贸协定升级版将于10月16号正式生效。	双方宣布中新双边自贸协定升级版将于十月十六号正式生效。
中央纪委国家监委公开曝光在不忘初心牢记使命主题教育期间查处的8起典型案例。	中央纪委国家监委公开曝光在不忘初心牢记使命主题教育期间查处的八起典型案例。
现在朱有勇团队有30多名研究生和博士生，每年100多天他们都驻扎在扶贫一线，指导培训农民。	现在朱有勇团队有三十多名研究生和博士生，每年一百多天他们都驻扎在扶贫一线，指导培训农民。
"也为乡村培养了一批科技人才。2019年澜沧县冬季马铃薯种植已经超过15,000亩。"	"也为乡村培养了一批科技人才。二零一九年澜沧县冬季马铃薯种植已经超过十五,亩。"
零下三期种植超过7000亩，总产值达到5亿元，预计今年底将有7.5万人脱贫。	零下三期种植超过七零零零亩，总产值达到五亿元，预计今年底将有七点五万人脱贫。
新增高铁里程超过1000公里。我国八纵八横高铁网进一步加密。	新增高铁里程超过一零零零公里。我国八纵八横高铁网进一步加密。
早上7点，郑渝高铁郑湘段首发列车从郑州东站始发前往湖北襄阳，新线的开通运营。	早上七点，郑渝高铁郑湘段首发列车从郑州东站始发前往湖北襄阳，新线的开通运营。
7:26，正负高铁首发从郑州东站始发，政府高铁以郑州为起点。	七点二十六，正负高铁首发从郑州东站始发，政府高铁以郑州为起点。
欧洲6国宣布加入对伊朗的贸易结算机制，贸易往来支持工具。	欧洲六国宣布加入对伊朗的贸易结算机制，贸易往来支持工具。
日前中央纪委国家监委公开曝光，在主题教育期间，有关地方纪委监委查处的8起典型案例。	日前中央纪委国家监委公开曝光，在主题教育期间，有关地方纪委监委查处的八起典型案例。
这8起典型案例分别是河北省保定市徐水区委原书记苏树峰等人落实管党治党责任不力。	这八起典型案例分别是河北省保定市徐水区委原书记苏树峰等人落实管党治党责任不力。
文章指出，5个多月来香港发生的这些破坏法治破坏治安的暴力犯罪行为，明显具有恐怖主义性质。	文章指出，五个多月来香港发生的这些破坏法治破坏治安的暴力犯罪行为，明显具有恐怖主义性质。
种粮大户王福军正忙着给小麦灌溉，尝到了种植优质小麦的甜头，今年他又多流转了300亩土地。	种粮大户王福军正忙着给小麦灌溉，尝到了种植优质小麦的甜头，今年他又多流转了三百亩土地。
12月1号是世界艾滋病日，国家卫健委发布的数据显示，目前我国艾滋病经输血传播基本阻断。	十二月一号是世界艾滋病日，国家卫健委发布的数据显示，目前我国艾滋病经输血传播基本阻断。
种植面积达到了3000亩。	种植面积达到了三千亩。
截至今年10月底，全国共报告存活的艾滋病感染者95.8万，整体疫情持续处于低流行水平。	截至今年十月底，全国共报告存活的艾滋病感染者九十五点八万，整体疫情持续处于低流行水平。
中央广播电视总台大型文化节目故事里的中国今晚8点档将在我台综合频道播出第8期。	中央广播电视总台大型文化节目故事里的中国今晚八点档将在我台综合频道播出第八期。
伊朗希望欧盟6国的加入能够为这一结算机制带来更多的能量。	伊朗希望欧盟六国的加入能够为这一结算机制带来更多的能量。
在今年我们的优质小麦比普通小麦每一斤高出1毛2，再加上政府补贴。	在今年我们的优质小麦比普通小麦每一斤高出一毛二，再加上政府补贴。
为了促进与伊朗的合法贸易，6国现在正式启动程序，加入贸易往来支持工具结算机制。	为了促进与伊朗的合法贸易，六国现在正式启动程序，加入贸易往来支持工具结算机制。
欧洲六国日前宣布加入对伊朗的贸易结算机制，贸易往来支持工具。伊朗方面11月30号表示。	欧洲六国日前宣布加入对伊朗的贸易结算机制，贸易往来支持工具。伊朗方面十一月三十号表示。
那就是欧盟继续坚定支持和履行伊核协议。2019年1月英法德宣布设立贸易往来支持工具结算机制。	那就是欧盟继续坚定支持和履行伊核协议。二零一九年一月英法德宣布设立贸易往来支持工具结算机制。
最初建立贸易往来支持工具的英法德三国发表声明表示，欧洲6国的加入对外释放了清晰的信号。	最初建立贸易往来支持工具的英法德三国发表声明表示，欧洲六国的加入对外释放了清晰的信号。
综合收入我们今年合作社增收20多万。	综合收入我们今年合作社增收二十多万。
当地时间11月30号，德国社会民主党选举出两个新任主席诺贝特瓦尔特博尔扬斯和萨斯基亚艾斯肯。	当地时间十一月三十号，德国社会民主党选举出两个新任主席诺贝特瓦尔特博尔扬斯和萨斯基亚艾斯肯。
该竞技场是在1964年东京奥运会主场馆原国立竞技场原址上重建而成。	该竞技场是在一九六四年东京奥运会主场馆原国立竞技场原址上重建而成。
11月30号2020年东京奥运会和残奥会主场馆国立竞技场宣布竣工。	十一月三十号两千零二十年东京奥运会和残奥会主场馆国立竞技场宣布竣工。
工期建设历时三年，工程费用为1529亿日元，约合98亿元人民币。	工期建设历时三年，工程费用为一千五百二十九亿日元，约合九十八亿元人民币。
竞技场内可容纳6万名观众同时观看比赛，其中包括500个轮椅席位。	竞技场内可容纳六万名观众同时观看比赛，其中包括五百个轮椅席位。
这里将是2020年东京奥运会以及残奥会的开幕式和闭幕式举办地。	这里将是二零二零年东京奥运会以及残奥会的开幕式和闭幕式举办地。
但是距离老王家20多公里，武陟县最大的食品加工企业却为买粮犯难。	但是距离老王家二十多公里，武陟县最大的食品加工企业却为买粮犯难。
还需要从外地采购，每年2万吨到3万吨。	还需要从外地采购，每年二万吨到三万吨。
河南常年种植小麦8500万亩以上，产量占全国的1/4左右。如何既保粮食稳产。	河南常年种植小麦八千五百万亩以上，产量占全国的四分之一左右。如何既保粮食稳产。
今天是12月1号星期日，农历11月初六，欢迎收看新闻联播节目。	今天是十二月一号星期日，农历十一月初六，欢迎收看新闻联播节目。
并从2016年开始推广发展优质专用小麦种植，并根据气候土壤的特点。	并从二零一六年开始推广发展优质专用小麦种植，并根据气候土壤的特点。
光这个运输费用能减少3%~5%。	光这个运输费用能减少百分之三~百分之五。
目前河南优质小麦基本实现产地经营规模化，千亩以上单品种规模连片种植区达2265个。	目前河南优质小麦基本实现产地经营规模化，千亩以上单品种规模连片种植区达两千两百六十五个。
今年秋波河南优质小麦种植面积达到1350万亩，占全省小麦种植总面积的15.8%。	今年秋波河南优质小麦种植面积达到一千三百五十万亩，占全省小麦种植总面积的百分之十五点八。
2018年11月5号，习近平总书记在首届中国国际进口博览会上宣布。	二零一八年十一月五号，习近平总书记在首届中国国际进口博览会上宣布。
系列报道壮丽70年，奋斗新时代，重温嘱托，看变化今天播出。河南省牢记习近平总书记嘱托。	系列报道壮丽七十年，奋斗新时代，重温嘱托，看变化今天播出。河南省牢记习近平总书记嘱托。
预计到2020年优质小麦面积将达到1500万亩。	预计到二零二零年优质小麦面积将达到一千五百万亩。
高标准建设上海自由贸易试验区新片区，推进规划实施等12章。	高标准建设上海自由贸易试验区新片区，推进规划实施等十二章。
规划期至2025年，展望到2035年。	规划期至二零二五年，展望到二零三五年。
国家副主席王岐山一号在广州出席2019从都国际论坛开幕式并至此。王岐山表示，和平与发展是时代主题。	国家副主席王岐山一号在广州出席二零一九从都国际论坛开幕式并至此。王岐山表示，和平与发展是时代主题。
中国愿同国际社会携手合作，全面落实2030年可持续发展议程，积极参与应对气候变化国际合作。	中国愿同国际社会携手合作，全面落实二零三零年可持续发展议程，积极参与应对气候变化国际合作。
王岐山出席2019从都国际论坛开幕式并致辞。	王岐山出席二零一九从都国际论坛开幕式并致辞。
2015年朱游泳来到中国工程院对口扶贫县，云南澜沧拉护族自治县扶贫。	二零一五年朱游泳来到中国工程院对口扶贫县，云南澜沧拉护族自治县扶贫。
将绿色农产品卖出大山。60名学员全部来自澜沧县20多个乡镇。	将绿色农产品卖出大山。六十名学员全部来自澜沧县二十多个乡镇。
已经举办过24个技能培训班，培训农户超过数千人。	已经举办过二十四个技能培训班，培训农户超过数千人。
今年64岁的朱有勇出生于云南普通农家，1977年考入云南农业大学。	今年六十四岁的朱有勇出生于云南普通农家，一九七七年考入云南农业大学。
1982年开始从事利用生物多样性控制病虫害的科学研究，30多年来都有勇带领团队研发的。	一九八二年开始从事利用生物多样性控制病虫害的科学研究，三十多年来都有勇带领团队研发的。
2016年开始，朱友勇在田间地头手把手的教村民怎么种马铃薯。	二零一六年开始，朱友勇在田间地头手把手的教村民怎么种马铃薯。
遗传多样性控制水稻病害技术，在我国10个省区市推广，并获得联合国粮农组织科研一等奖。	遗传多样性控制水稻病害技术，在我国十个省区市推广，并获得联合国粮农组织科研一等奖。
它研发的物种多样性控制作物病害技术在国内外应用于3亿多亩旱地作物。	它研发的物种多样性控制作物病害技术在国内外应用于三亿多亩旱地作物。
这两项技术都减少了60%的农药使用，并增产20%~30%。	这两项技术都减少了百分之六十的农药使用，并增产百分之二十~百分之三十。
