在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
噢这个我们在18年见投资人的时候，投资人问我们你们今年能做多少学生？	噢这个我们在十八年见投资人的时候，投资人问我们你们今年能做多少学生？
这个我也小白以前没做过教育对吧？我说我们做6000个，其实我心里面打鼓。	这个我也小白以前没做过教育对吧？我说我们做六千个，其实我心里面打鼓。
最重要的是它的那个底层，你们是用一个产品化的一个构构架来考虑这个事儿。	最重要的是它的那个底层，你们是用一个产品化的一个构构架来考虑这个事。
今天如果是一个新用户，一个新妈妈，站在这儿让我们去比较魔比好还是我们好，我们是不会讲魔比不好的。	今天如果是一个新用户，一个新妈妈，站在这让我们去比较魔比好还是我们好，我们是不会讲魔比不好的。
比方说我们的700多个产业，那每个月的开销都很大，我们在这个课程。	比方说我们的七百多个产业，那每个月的开销都很大，我们在这个课程。
我们又开始去重新研究那些课程，那些该改，这是第一个事儿。	我们又开始去重新研究那些课程，那些该改，这是第一个事。
比方说在5岁的时候教华文道是不是一个最好的。	比方说在五岁的时候教华文道是不是一个最好的。
那我们的错的都不一样，我们都考了95分，我们俩有差别。	那我们的错的都不一样，我们都考了九十五分，我们俩有差别。
所以我们确实有一支团队在研究这个事儿，怎么样通过机器。	所以我们确实有一支团队在研究这个事，怎么样通过机器。
结果呢这个我们到18年的12月31号当天，我们一共有10,700，个。	结果呢这个我们到十八年的十二月三十一号当天，我们一共有十,七百，个。
你不像k12学数学，那个就是为了考试的。	你不像k十二学数学，那个就是为了考试的。
那冰冰老师那时候在上课，到了7:00。	那冰冰老师那时候在上课，到了七:。
嗯我们打算就招20个孩子。	嗯我们打算就招二十个孩子。
他就属于那个20个孩子里面其中一位。	他就属于那个二十个孩子里面其中一位。
让他觉得噢原来这个认字是很有意义的事儿。	让他觉得噢原来这个认字是很有意义的事。
这6000个估计挺难做的。	这六千个估计挺难做的。
一个妈妈，他们家孩子8:00晚上8:00动手术。	一个妈妈，他们家孩子八:晚上八:动手术。
噢我考分，考了100分，你比如说你幼儿园的孩子没有考分。	噢我考分，考了一百分，你比如说你幼儿园的孩子没有考分。
在18年3月份推出的时候，推出了一个叫做短期班。	在十八年三月份推出的时候，推出了一个叫做短期班。
所以而且语文这个事儿那真的是出海可以。	所以而且语文这个事那真的是出海可以。
我其实并不认为它是一个简单和难的事儿。	我其实并不认为它是一个简单和难的事。
6个孩子看到的题不同。	六个孩子看到的题不同。
因为你只要一对2000，你怎么千人千面对吧？你讲的内容你都不同都都是一样的，对。	因为你只要一对二零零零，你怎么千人千面对吧？你讲的内容你都不同都都是一样的，对。
亲爱的听众朋友大家好。欢迎收听创业内幕，抗击新冠肺炎特别专辑第7期。我是主持人li。	亲爱的听众朋友大家好。欢迎收听创业内幕，抗击新冠肺炎特别专辑第七期。我是主持人li。
来听听他的2020年融资破局之道。	来听听他的二零二零年融资破局之道。
从正的2~3直接掉到了负的这个3.5，就变成了负增长。	从正的二~三直接掉到了负的这个三点五，就变成了负增长。
所以其实影响一度是非常大的，但是16年疫情得到控制之后，马上这个到16年下半年奥运会期间。	所以其实影响一度是非常大的，但是十六年疫情得到控制之后，马上这个到十六年下半年奥运会期间。
巴西的入境游客达到了历史的新高660万，然后在这个基础上面转过年来17年整个巴西的GDP又重新。	巴西的入境游客达到了历史的新高六百六十万，然后在这个基础上面转过年来十七年整个巴西的GDP又重新。
转回来正增长从负的2点多也增加到了正的1.1，所以其实这也是一个非常有利的就是乘胜而上的这么一个。	转回来正增长从负的二点多也增加到了正的一点一，所以其实这也是一个非常有利的就是乘胜而上的这么一个。
一个月之后反弹7%三个月反弹了8%，所以整体你能看到这个指数强劲程度。	一个月之后反弹百分之七三个月反弹了百分之八，所以整体你能看到这个指数强劲程度。
能够很快的去做好准备，去关注以后的4个大的机会。	能够很快的去做好准备，去关注以后的四个大的机会。
但是非典年03年当年，这个中国新车的销售的增幅是前后5年里面增幅最高的，它涨了70%。	但是非典年零三年当年，这个中国新车的销售的增幅是前后五年里面增幅最高的，它涨了百分之七十。
他的收入还能保持接近40%的一个增长，这还是非常恐怖的。而且这是主营业务收入。	他的收入还能保持接近百分之四十的一个增长，这还是非常恐怖的。而且这是主营业务收入。
大家购买力提升，所以其实两波刺激下面这个03年爆发了一个新车销售的小高点。	大家购买力提升，所以其实两波刺激下面这个零三年爆发了一个新车销售的小高点。
比较有刺激作用的这样的一个政策，比如说货币财政政策，我们反观03年非典时期，当时国家。	比较有刺激作用的这样的一个政策，比如说货币财政政策，我们反观零三年非典时期，当时国家。
其实在实施积极的财政政策，然后在02年的时候，国家的货币政策其实是比较的宽松的。	其实在实施积极的财政政策，然后在零二年的时候，国家的货币政策其实是比较的宽松的。
反而因为疫情被推迟了，因为这样的推迟呢导致整个03年的这个信贷增加量。	反而因为疫情被推迟了，因为这样的推迟呢导致整个零三年的这个信贷增加量。
然后因为疫情的出现，本来在03年应该快速出台落地的几个收缩的这个货币政策。	然后因为疫情的出现，本来在零三年应该快速出台落地的几个收缩的这个货币政策。
也是前后几年里面的一个新高，它比02年增加了3万亿，整整涨了35%。	也是前后几年里面的一个新高，它比零二年增加了三万亿，整整涨了百分之三十五。
它其实是有一个比较明确的免征2~6个月的养老失业保险金这样的一个政策的。	它其实是有一个比较明确的免征二~六个月的养老失业保险金这样的一个政策的。
有10亿级别的这样的用户体量，有大量的百亿级别营收的市场。	有十亿级别的这样的用户体量，有大量的百亿级别营收的市场。
嗯其实从19年开始，大量的美元基金这个中后期的机构会变得更加谨慎。	嗯其实从十九年开始，大量的美元基金这个中后期的机构会变得更加谨慎。
嗯而且19年我们还看到一个有意思的趋势，就是头部化是非常明显的。	嗯而且十九年我们还看到一个有意思的趋势，就是头部化是非常明显的。
募资层面上1.5%的投资基金拿走了市场上。	募资层面上百分之一点五的投资基金拿走了市场上。
接近60%的这个资金量，当然这也包括GDP你们席卷了市场上一部分的。这个	接近百分之六十的这个资金量，当然这也包括GDP你们席卷了市场上一部分的。这个
今天就是1%的一个头部项目数量，融到了市场上超过20%的钱，这还是非常恐怖的一个数据。	今天就是百分之一的一个头部项目数量，融到了市场上超过百分之二十的钱，这还是非常恐怖的一个数据。
相信2020年这个数据呢有可能会进一步这个集中和加大。那回到微观来看的话。	相信二零二零年这个数据呢有可能会进一步这个集中和加大。那回到微观来看的话。
这里面有一个数据，就是说50%的投资人表示19年的基础上面他们会继续保持一个收缩的策略。	这里面有一个数据，就是说百分之五十的投资人表示十九年的基础上面他们会继续保持一个收缩的策略。
在19年开始他们就已经开始收缩了就，已经开始这个对项目的数量不做大量的追求了。	在十九年开始他们就已经开始收缩了就，已经开始这个对项目的数量不做大量的追求了。
所以在这个基础上面，呢其实在20年他们只是在延续自己的政策和策略，并没有因此因为疫情。	所以在这个基础上面，呢其实在二十年他们只是在延续自己的政策和策略，并没有因此因为疫情。
变得更加的慢，并没有这样，其实只有非常个别的可能3~5%的机构。	变得更加的慢，并没有这样，其实只有非常个别的可能三~百分之五的机构。
嗯从19年下半年开始，我们就看到有超过50%的这个早期投资机构。	嗯从十九年下半年开始，我们就看到有超过百分之五十的这个早期投资机构。
他们比较重点看的领域，我们聊的40家机构里面可能超过60%的人。	他们比较重点看的领域，我们聊的四十家机构里面可能超过百分之六十的人。
我认为保守估计提前了2~3年，其实这是一个非常广谱的这样一个一个一个教育过程。吧	我认为保守估计提前了二~三年，其实这是一个非常广谱的这样一个一个一个教育过程。吧
这个最明显的就是我们对比19年春节的一个所谓的黄金周吧这个假期的金额去看的话，整个春节期间。	这个最明显的就是我们对比十九年春节的一个所谓的黄金周吧这个假期的金额去看的话，整个春节期间。
嗯在20年，我相信这是一个断崖式的下跌，会非常恐怖，就是至少这个负向的影响要超过1万亿。	嗯在二十年，我相信这是一个断崖式的下跌，会非常恐怖，就是至少这个负向的影响要超过一万亿。
然后两个月之后，他就强势反弹到了这个9%以上。	然后两个月之后，他就强势反弹到了这个百分之九以上。
03年SARS期间，这个社会零售总额的增速从三四月份的8~9%。	零三年SARS期间，这个社会零售总额的增速从三四月份的八~百分之九。
电影、零售、餐饮、旅游这4个子板块，在19年整个4个子板块的收入是达到了1.5万个亿。	电影、零售、餐饮、旅游这四个子板块，在十九年整个四个子板块的收入是达到了一点五万个亿。
一下子掉到了5月份的大概4.3。	一下子掉到了五月份的大概四点三。
这个爱奇艺啦 b站，啦包括芒果超媒啦这些媒体平台，在节后这个一两周内它们涨幅都在20%以上。	这个爱奇艺啦 b站，啦包括芒果超媒啦这些媒体平台，在节后这个一两周内它们涨幅都在百分之二十以上。
然后另外就是97年的，亚洲金融危机。	然后另外就是九七年的，亚洲金融危机。
在线应该是超过了6亿的这个观看。这个模式。呢	在线应该是超过了六亿的这个观看。这个模式。呢
为什么要用一个元年在前的问号，呢这个没有意思，就是因为从14年开始，我记得。	为什么要用一个元年在前的问号，呢这个没有意思，就是因为从十四年开始，我记得。
另外一个呢就是2月3号企业微信的使用结束。	另外一个呢就是二月三号企业微信的使用结束。
号称是破了百万，这个同比其实是涨了超过300%的。	号称是破了百万，这个同比其实是涨了超过百分之三百的。
核心还是过去的这个5年期间，美菜在供应链端从采购。	核心还是过去的这个五年期间，美菜在供应链端从采购。
第二个呢是你要给自己留足6个月的融资期。	第二个呢是你要给自己留足六个月的融资期。
第三个呢是你要给自己留足9个月的现金流。	第三个呢是你要给自己留足九个月的现金流。
三个月的业绩低于预期，这中间呢需要提醒大家5点，第一个呢就是重新树立战略调整预算。	三个月的业绩低于预期，这中间呢需要提醒大家五点，第一个呢就是重新树立战略调整预算。
另外1个呢6个月的融资期，这个也是需要你至少留足这样的一个时间。	另外一个呢六个月的融资期，这个也是需要你至少留足这样的一个时间。
第一个呢就在今天市场环境下面没有异性的影响，平均融资周期都是超过6个月的。	第一个呢就在今天市场环境下面没有异性的影响，平均融资周期都是超过六个月的。
然后第4个造血也很重要，就现阶段如果只能靠融资。	然后第四个造血也很重要，就现阶段如果只能靠融资。
这就是369法则，我很快的跟大家过了一下，那后面呢我想讲一讲融资的数。	这就是三百六十九法则，我很快的跟大家过了一下，那后面呢我想讲一讲融资的数。
那怎么样去做落袋为安，呢我们的建议是说创业者这个要有4个感4个感呢是这个感觉的感。	那怎么样去做落袋为安，呢我们的建议是说创业者这个要有四个感四个感呢是这个感觉的感。
你10天半个月不跟人交流，显得自己很高了，所以这中间还是需要一些。	你十天半个月不跟人交流，显得自己很高了，所以这中间还是需要一些。
僵化的时间目标，比如说我去年定下来，今年6月份出来融资，那我就雷打不动，一定是这个样子。	僵化的时间目标，比如说我去年定下来，今年六月份出来融资，那我就雷打不动，一定是这个样子。
这4个感吧我个人认为能够保证创业者融资落袋为安很重要的这个关键点。	这四个感吧我个人认为能够保证创业者融资落袋为安很重要的这个关键点。
从线下的中介线下的这个门市转向了线上的这个代理和电话订票，那时候就形成400电话是非常好使的。	从线下的中介线下的这个门市转向了线上的这个代理和电话订票，那时候就形成四百电话是非常好使的。
比如说3721就这个最后买卖给了雅虎，卓越被亚马逊收购了，所以其实这其实也不是为一种好的退出方式。	比如说三七二一就这个最后买卖给了雅虎，卓越被亚马逊收购了，所以其实这其实也不是为一种好的退出方式。
放了也白搭，因为它是100%被关注的。	放了也白搭，因为它是百分之一百被关注的。
我们预判呢2020年开始吧这种行业中间的所谓大吃小。	我们预判呢二零二零年开始吧这种行业中间的所谓大吃小。
影响了自己的发展节奏。其实这里面我也分享过几次在非典时期的这个案例，就是当年的卓越网和3721。	影响了自己的发展节奏。其实这里面我也分享过几次在非典时期的这个案例，就是当年的卓越网和三七二一。
我们现在已经提供类似的保护超过200一次，后来为全社会保护超过万亿元的那个资金的那个安全。	我们现在已经提供类似的保护超过两百一次，后来为全社会保护超过万亿元的那个资金的那个安全。
加入这家2013年才创立的公司，成为联合创始人，这中间做出选择的过程能给我们分享一下吗？	加入这家二零一三年才创立的公司，成为联合创始人，这中间做出选择的过程能给我们分享一下吗？
都是在跨国公司和大型机构任职。但是2014年就是您选择了。	都是在跨国公司和大型机构任职。但是二零一四年就是您选择了。
我在非常早的时候暴露了我年龄，哈我在1992年的时候的话。呢	我在非常早的时候暴露了我年龄，哈我在一九九二年的时候的话。呢
就是你们现在在做的这个事儿有哪些场景和例子？	就是你们现在在做的这个事有哪些场景和例子？
这个人500块钱1000块钱或者2000块钱不还，他怕的是这个人其实是诈骗。	这个人五百块钱一千块钱或者两千块钱不还，他怕的是这个人其实是诈骗。
因为很少人会因为2000块钱的话把这整个信用都丢掉了，但是要是他是诈骗犯的话那就是有问题，所以我们会。	因为很少人会因为两千块钱的话把这整个信用都丢掉了，但是要是他是诈骗犯的话那就是有问题，所以我们会。
在10个平台里面的话呢去申请，那这个肯定是很大问题的，那我们就会做这个类型的那个防范。	在十个平台里面的话呢去申请，那这个肯定是很大问题的，那我们就会做这个类型的那个防范。
Tudor的4个选择，1CIO2CTO，3CEO。	Tudor的四个选择，一CIO2CTO，三CEO。
我们一共有4款产品都入选了杭州市的那个优秀防控新冠肺炎人工智能方案的产品目录里面。	我们一共有四款产品都入选了杭州市的那个优秀防控新冠肺炎人工智能方案的产品目录里面。
现在呢通过咱们的这个平台24小时就完成审批了。	现在呢通过咱们的这个平台二十四小时就完成审批了。
一个叫抗议产品专版，一个叫股权投资专版。就是本来线下贷款要1~2周才能完成。	一个叫抗议产品专版，一个叫股权投资专版。就是本来线下贷款要一~二周才能完成。
还有80%的就业。但是疫情之后受影响的最主要是大企业以外的这些中小企业。	还有百分之八十的就业。但是疫情之后受影响的最主要是大企业以外的这些中小企业。
其实2018年开始进军东南亚，特别巧的是就是同盾在新加坡的办公室是跟GDP在一个楼。	其实二零一八年开始进军东南亚，特别巧的是就是同盾在新加坡的办公室是跟GDP在一个楼。
但0~0.1的那一段其实是最难的，它需要你有就是非常非常好的伊利去做。	但零~零点一的那一段其实是最难的，它需要你有就是非常非常好的伊利去做。
就是我把这块呢叫做0~0.1，其实在企每个企业的或者是每个企业的新的那个业务部门。	就是我把这块呢叫做零~零点一，其实在企每个企业的或者是每个企业的新的那个业务部门。
就是落地的能力。当然大环境我觉得还是很重要的，大家看比方说现在我们无论是中国制造2025。	就是落地的能力。当然大环境我觉得还是很重要的，大家看比方说现在我们无论是中国制造二零二五。
各种各样的那个网上的手段的话，呢123就将所有的票都搞走了，然后他们就高价在不同的平台里面卖。	各种各样的那个网上的手段的话，呢一百二十三就将所有的票都搞走了，然后他们就高价在不同的平台里面卖。
我认为小米90%的人都没有充分的完全的理解这件事。	我认为小米百分之九十的人都没有充分的完全的理解这件事。
不再做一次的话，40岁以后就干不动了，你知道吗？第二个是说。	不再做一次的话，四十岁以后就干不动了，你知道吗？第二个是说。
我我去找李总聊天，那那那个谈事情，前面有两个人拍在我面前，然后呢公司呢90%的人都在。	我我去找李总聊天，那那那个谈事情，前面有两个人拍在我面前，然后呢公司呢百分之九十的人都在。
其实我们在这里心态是最好的，对吧？因为我们赌的时候你想一想小米当时的年收入大概在300亿。	其实我们在这里心态是最好的，对吧？因为我们赌的时候你想一想小米当时的年收入大概在三百亿。
那时候的格力大概在1000多亿。	那时候的格力大概在一千多亿。
但在8年前，真正想明白手机创业生态的全公司很可能只有雷军一个人。	但在八年前，真正想明白手机创业生态的全公司很可能只有雷军一个人。
他自己在金山待了18年，在那样子的环境，中国创业机会那么多的情况下，他都没走，留了18年。	他自己在金山待了十八年，在那样子的环境，中国创业机会那么多的情况下，他都没走，留了十八年。
之后的34个小时之内就卖出45万台，那个感觉是超好的。	之后的三十四个小时之内就卖出四十五万台，那个感觉是超好的。
你看那时候就是没做红米的话，呢下面的深圳手机在2g2.5g时代都是非常的活跃的。	你看那时候就是没做红米的话，呢下面的深圳手机在二g二点五g时代都是非常的活跃的。
第一次认识刘德是在2010年的时候。	第一次认识刘德是在二零一零年的时候。
2010年刘德回国加入小米。	二零一零年刘德回国加入小米。
当这个发布会完了以后，说这个手机是1999，全场这样子这个站起来就非常的激情跟热烈。	当这个发布会完了以后，说这个手机是一九九九，全场这样子这个站起来就非常的激情跟热烈。
然后认识UC应该是在06。	然后认识UC应该是在零六。
07年的时候通过李军李总的介绍，先是认识到认识了这个永福，然后后面也认识了这个小鹏跟梁姐。	零七年的时候通过李军李总的介绍，先是认识到认识了这个永福，然后后面也认识了这个小鹏跟梁姐。
13年的时候我我觉得嗯我觉得智能汽车有可能会跟智能手机一样在。	十三年的时候我我觉得嗯我觉得智能汽车有可能会跟智能手机一样在。
那当时确实还没有感觉到这个市场的一个这个所谓爆发性，那但但在17年的时候，当时。	那当时确实还没有感觉到这个市场的一个这个所谓爆发性，那但但在十七年的时候，当时。
嗯如果如果来我们来举例，苹果一到苹果那个那个4，我觉得苹果4是一个比较蛮大的一个转换。	嗯如果如果来我们来举例，苹果一到苹果那个那个四，我觉得苹果四是一个比较蛮大的一个转换。
嗯小鹏这一款车，我们的目标是那5~15%的市场都是用的可以用的，自动驾驶。	嗯小鹏这一款车，我们的目标是那五~百分之十五的市场都是用的可以用的，自动驾驶。
嗯嗯有超过1亿行的代码，我认为未来的智能汽车都是超过1亿行，所以。	嗯嗯有超过一亿行的代码，我认为未来的智能汽车都是超过一亿行，所以。
嗯那么假设有一个人住在郊区也是一个小时，假设是70公里的话，他会觉得心里很远，因为他自己开。	嗯那么假设有一个人住在郊区也是一个小时，假设是七十公里的话，他会觉得心里很远，因为他自己开。
但事实来看还是大概有2900万台左右的一个当量是一个非常大的一个当量。	但事实来看还是大概有两千九百万台左右的一个当量是一个非常大的一个当量。
那个时候不觉得有什么，这个因为也不也没有开过他的车，也也不知道他的情况，然后但我我在13年。	那个时候不觉得有什么，这个因为也不也没有开过他的车，也也不知道他的情况，然后但我我在十三年。
我觉得今天我们还是属于一个在第一阶段或者1.0这样的一个阶段。	我觉得今天我们还是属于一个在第一阶段或者一点零这样的一个阶段。
都是汽车研发人员，只有30%来自于互联网跟其他的领域。	都是汽车研发人员，只有百分之三十来自于互联网跟其他的领域。
反正我加入纪元就是在05年，然后一直到现在，然后前后也看了投了不不少的项目。	反正我加入纪元就是在零五年，然后一直到现在，然后前后也看了投了不不少的项目。
谢谢丽丽。我是谢欣，来自志杰跳动，我自己已经加入志杰跳动公司有5年了。	谢谢丽丽。我是谢欣，来自志杰跳动，我自己已经加入志杰跳动公司有五年了。
在今天大家看到的Google DOC，它的背景仍然是一张a4纸。	在今天大家看到的Google DOC，它的背景仍然是一张a四纸。
这是什么意思？呢因为以前在word的背景默认情况下是一张a4纸，因为它是用来把它打印出来。	这是什么意思？呢因为以前在word的背景默认情况下是一张a四纸，因为它是用来把它打印出来。
你这个公司你有10个人也好，你有10万个人也好，其实大家的工具用起来都是这么用。	你这个公司你有十个人也好，你有十万个人也好，其实大家的工具用起来都是这么用。
对，所以这个2020年很可能会成为一个团队协同办公的元年，哈或者叫转折年。但是。	对，所以这个二零二零年很可能会成为一个团队协同办公的元年，哈或者叫转折年。但是。
电脑网络呀是在我这边管，采购部门是在我这儿，哈就是整个公司的采购部门，然后再接下来我们的。	电脑网络呀是在我这边管，采购部门是在我这，哈就是整个公司的采购部门，然后再接下来我们的。
产品或者工具之后，它往往会伴随这家企业很长时间5年，甚至伴随企业10年甚至终身的都有。	产品或者工具之后，它往往会伴随这家企业很长时间五年，甚至伴随企业十年甚至终身的都有。
对，这听起来是风马牛完全不相及的几个事儿，哈然后我想知道就是您管了这么多业务线，而且呢其实。	对，这听起来是风马牛完全不相及的几个事，哈然后我想知道就是您管了这么多业务线，而且呢其实。
大家可以从6个角度来理解这5种组型，他的剥夺权益、适用对象、执行机关和场所期限，刑期计算以及待遇。	大家可以从六个角度来理解这五种组型，他的剥夺权益、适用对象、执行机关和场所期限，刑期计算以及待遇。
那我们现在呢进入到刑罚论，刑罚论呢在最近几年中题目越来越少，大概呢每年客观题中就是1~2道题左右。	那我们现在呢进入到刑罚论，刑罚论呢在最近几年中题目越来越少，大概呢每年客观题中就是一~二道题左右。
所谓正待遇就是劳动中同工同酬，所谓反待遇呢就是这些自由被限制了。大家看一看，特别的注意一下第5点。	所谓正待遇就是劳动中同工同酬，所谓反待遇呢就是这些自由被限制了。大家看一看，特别的注意一下第五点。
比如说放了20个危险驾驶罪，每个危险驾驶都判6个月，加起来总共不能超过一年。	比如说放了二十个危险驾驶罪，每个危险驾驶都判六个月，加起来总共不能超过一年。
这里面大家翻到80页，一个是侵犯人身权利的某些犯罪。	这里面大家翻到八十页，一个是侵犯人身权利的某些犯罪。
所以大家觉得是不是杀人一定要投降，杀人一定要投降吗？那2019年考了一道什么题目，呢我。	所以大家觉得是不是杀人一定要投降，杀人一定要投降吗？那二零一九年考了一道什么题目，呢我。
我们发现千年犯跟吸收犯最大的区别有2000年犯，首先在刑事上千年犯。	我们发现千年犯跟吸收犯最大的区别有二零零零年犯，首先在刑事上千年犯。
10个嘴，为什么？呢因为这个行为可以干嘛？呀	十个嘴，为什么？呢因为这个行为可以干嘛？呀
那么现在呢看到第4节因果关系，那因果关系它强调的是危害行为与危害结果之间合乎规律的一种联系。	那么现在呢看到第四节因果关系，那因果关系它强调的是危害行为与危害结果之间合乎规律的一种联系。
一些典型的案件，比如说5+5我投了5毫克毒药，李四在不知情的情况下也投了5毫克毒药。	一些典型的案件，比如说五+五我投了五毫克毒药，李四在不知情的情况下也投了五毫克毒药。
我的行为跟他的死亡好像有因果关系，但后来查明张三所住的那栋房子，9:10到了，全楼的人无一幸免。	我的行为跟他的死亡好像有因果关系，但后来查明张三所住的那栋房子，九:十到了，全楼的人无一幸免。
他什么时候19:10，而现在因为我要杀他，他12:10死的，那我是不是让他在这个世界上多活了三个小时？	他什么时候十九:十，而现在因为我要杀他，他十二:十死的，那我是不是让他在这个世界上多活了三个小时？
因为强奸造成严重后果，要判处10年以上有期徒刑、无期徒刑直至死刑。否则普通的强奸罪是3年到10年。	因为强奸造成严重后果，要判处十年以上有期徒刑、无期徒刑直至死刑。否则普通的强奸罪是三年到十年。
但是他有强奸行为，那就直接构成强奸罪就ok了。当然还有第三种年龄是16周岁以上，这是完全刑事责任。	但是他有强奸行为，那就直接构成强奸罪就ok了。当然还有第三种年龄是十六周岁以上，这是完全刑事责任。
因为你的大脑比如说有10个道德阀门，平常你是10个道德阀门在起作用，所以在路上你看到有东西你不会偷。	因为你的大脑比如说有十个道德阀门，平常你是十个道德阀门在起作用，所以在路上你看到有东西你不会偷。
因为注意在19世纪那个时候生计非常的艰辛，所以有一次马夫驾驶的这匹马，结果马又发飙了。	因为注意在十九世纪那个时候生计非常的艰辛，所以有一次马夫驾驶的这匹马，结果马又发飙了。
如果一个女的她老公跑了早了，89年都没有找着老公，结果在这个时候自己又没有生计，又带着5个孩子。	如果一个女的她老公跑了早了，八九年都没有找着老公，结果在这个时候自己又没有生计，又带着五个孩子。
因为刑法第13条的但书条款指出。	因为刑法第十三条的但书条款指出。
现在我们进入到第二章犯罪论体系，那首先什么叫做犯罪？我国刑法第13条有一个关于犯罪非常冗长的规定。	现在我们进入到第二章犯罪论体系，那首先什么叫做犯罪？我国刑法第十三条有一个关于犯罪非常冗长的规定。
因为在4要件看来13岁由于主体不具备，所以他不构成犯罪，那他就是一人犯罪，而不是两人犯罪。	因为在四要件看来十三岁由于主体不具备，所以他不构成犯罪，那他就是一人犯罪，而不是两人犯罪。
它其实只不过像吃饭的盘子一样，你用3个盘子装菜或用4个盘子装菜其实都一样，都可以解决问题。	它其实只不过像吃饭的盘子一样，你用三个盘子装菜或用四个盘子装菜其实都一样，都可以解决问题。
那你再比如还有一年考过一道题目，一个15岁的小孩去偷东西，让一个18岁的男的来帮他提供计算机支持。	那你再比如还有一年考过一道题目，一个十五岁的小孩去偷东西，让一个十八岁的男的来帮他提供计算机支持。
我跟一个10岁的小姑娘发生关系，我们俩真心相爱，你管得着吗？	我跟一个十岁的小姑娘发生关系，我们俩真心相爱，你管得着吗？
那现在我们进入到第4章主观构成要件，在主观构成要件中，我们要讨论故意过失，我们还要讨论认识错误。	那现在我们进入到第四章主观构成要件，在主观构成要件中，我们要讨论故意过失，我们还要讨论认识错误。
和危害结果都必须要有明确的认识。一个非常经典的案件，就是2002年发生在辽宁省鞍山市的疯女人案。	和危害结果都必须要有明确的认识。一个非常经典的案件，就是二零零二年发生在辽宁省鞍山市的疯女人案。
张三开着一辆豪车一辆宾利轿车，结果停了一上午车，收费员说您停一上午车要交5块钱停车费。	张三开着一辆豪车一辆宾利轿车，结果停了一上午车，收费员说您停一上午车要交五块钱停车费。
我花了5000块钱买了这辆豪车，兴奋地开着上路，结果一开到路上我也没检查车况，开着开着方向盘就断了。	我花了五千块钱买了这辆豪车，兴奋地开着上路，结果一开到路上我也没检查车况，开着开着方向盘就断了。
一种情况是故意针对第三人进行访问，张三在抢我，我打不过他，但是我看到他5岁的小孩站在旁边。	一种情况是故意针对第三人进行访问，张三在抢我，我打不过他，但是我看到他五岁的小孩站在旁边。
防卫过当符合了前4个要件，只是不符合第5个要件。所以如果防卫不事实，那他就不属于防卫过当。	防卫过当符合了前四个要件，只是不符合第五个要件。所以如果防卫不事实，那他就不属于防卫过当。
结果手术前一夜晚上8点他去做术前准备，发现第二天做手术的眼角膜已经腐烂。	结果手术前一夜晚上八点他去做术前准备，发现第二天做手术的眼角膜已经腐烂。
你说老师其我真的有人格，我说5000万在家北上广三套房行吗？成交，你有什么人格？	你说老师其我真的有人格，我说五千万在家北上广三套房行吗？成交，你有什么人格？
我说这位同学要不把你的肾脏卖给我50万行吗？你说老师50万，我是有人格的，我说500万行吗？	我说这位同学要不把你的肾脏卖给我五十万行吗？你说老师五十万，我是有人格的，我说五百万行吗？
所以那是北京、上海，然后江苏、湖南、广东、浙江6个省份。	所以那是北京、上海，然后江苏、湖南、广东、浙江六个省份。
第二个排水排除性的污水处理厂，中国未来的目标是每个城市最低建1~2个物质处理厂，每个。	第二个排水排除性的污水处理厂，中国未来的目标是每个城市最低建一~二个物质处理厂，每个。
那么985计划到最后的实施呢一共是大概有39所高校，39所高校它是985工程大学。	那么九百八十五计划到最后的实施呢一共是大概有三十九所高校，三十九所高校它是九百八十五工程大学。
和华北电力大学。那么这4个学校呢分别是由两地办学的，其中中国石油大学呢是在北京和。	和华北电力大学。那么这四个学校呢分别是由两地办学的，其中中国石油大学呢是在北京和。
你要了解一下这4个学校的历史的话，你都会发现他们当年呢都是因为各种各样的原因，那么从北京。呢就	你要了解一下这四个学校的历史的话，你都会发现他们当年呢都是因为各种各样的原因，那么从北京。呢就
你就一个预预算10万块钱对吧？你跑到4s店，你说我指着奔驰说我想买奔驰。	你就一个预预算十万块钱对吧？你跑到四s店，你说我指着奔驰说我想买奔驰。
300其实都没有没有，350多的。	三百其实都没有没有，三百五十多的。
有没有330多的对吧？	有没有三百三十多的对吧？
我们来看5个问题，首先第一个问题同学。	我们来看五个问题，首先第一个问题同学。
你能考什么专业？经济能考多少个专业？22个专业对吧？	你能考什么专业？经济能考多少个专业？二十二个专业对吧？
体育学同学能考几个专业，4个专业，你还能考专硕呢对吧？加专硕是5个对吧？	体育学同学能考几个专业，四个专业，你还能考专硕呢对吧？加专硕是五个对吧？
教育学生可以考10个专业，再加上我怎么觉得他不好使呢？	教育学生可以考十个专业，再加上我怎么觉得他不好使呢？
对不对？第4个问题同学这4个省份哪个学校有你要考的专业能不能查出来？	对不对？第四个问题同学这四个省份哪个学校有你要考的专业能不能查出来？
上一届15个学校，咱们能不能把这15个学校的招生人数查出来，能不能查出来？	上一届十五个学校，咱们能不能把这十五个学校的招生人数查出来，能不能查出来？
不一样，吧有的多有的少是不是？结果你发现老师有7个学校招的人连10个人都不到。	不一样，吧有的多有的少是不是？结果你发现老师有七个学校招的人连十个人都不到。
